Charac_No,Autism_Screening_characteristics,Pivotal_Response_Treatment,,,,Peer_Mediated_Instruction_and_Intervention,,,,Task_Analysis,,,,Picture_Exchange_Communication_System,,,,,Technology_Aided_Instruction_and_Intervention,,,,
Nan,Nan,communication,language,play_skill,sensory_integration,responding_to_others,understanding_others,interacting_with_others,interacting_in_grorups,social,adaptive,joint_attention,communication,eye_contact,social,language,communication,joint_attention,social,cognitive,communication,joint_attention,adaptive
A1,S/he notices patterns in things all the time,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2,"S/he usually concentrates more on the whole picture, rather than the small details",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A3,"In a social group, s/he can easily keep track of several different people’s conversations",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
A4,"If there is an interruption, s/he can switch back to what s/he was doing very quickly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A5,S/he frequently finds that s/he doesn’t know how to keep a conversation going,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
A6,S/he is good at social chit-chat,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0
A7,"When s/he was younger, s/he used to enjoy playing games involving pretending  ",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
A8,S/he finds it difficult to imagine what it would be like to be someone else   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A9,S/he finds social situations easy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A10,S/he finds it hard to make new friends,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
