Charac_No,Autism_Screening_characteristics,Pivotal_Response_Treatment,,,,Peer_Mediated_Instruction_and_Intervention,,,,Task_Analysis,,,,Picture_Exchange_Communication_System,,,,,Technology_Aided_Instruction_and_Intervention,,,,
Nan,Nan,communication,language,play_skill,sensory_integration,responding_to_others,understanding_others,interacting_with_others,interacting_in_grorups,social,adaptive,joint_attention,communication,eye_contact,social,language,communication,joint_attention,social,cognitive,communication,joint_attention,adaptive
A1,S/he often notices small sounds when others do not,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2,"S/he usually concentrates more on the whole picture, rather than the small details",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A3,"In a social group, s/he can easily keep track of several different people’s conversations",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
A4,S/he finds it easy to go back and forth between different activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A5,S/he doesn’t know how to keep a conversation going with his/her peers,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
A6,S/he is good at social chit-chat,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0
A7,"When s/he is read a story, s/he finds it difficult to work out the character’s intentions ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A8,"When s/he was in preschool, s/he used to enjoy playing games involving pretending with other children",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
A9,S/he finds it easy to work out what someone is thinking or feeling just by looking at their face,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A10,S/he finds it hard to make new friends,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0
