Charac_No,Autism_Screening_characteristics,Pivotal_Response_Treatment,,,,Peer_Mediated_Instruction_and_Intervention,,,,Task_Analysis,,,,Picture_Exchange_Communication_System,,,,,Technology_Aided_Instruction_and_Intervention,,,,
Nan,Nan,communication,language,play_skill,sensory_integration,responding_to_others,understanding_others,interacting_with_others,interacting_in_grorups,social,adaptive,joint_attention,communication,eye_contact,social,language,communication,joint_attention,social,cognitive,communication,joint_attention,adaptive
A1,Does your child look at you when you call his/her name?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2,How easy is it for you to get eye contact with your child?,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A3,Does your child point to indicate that s/he wants something?,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
A4,Does your child point to share interest with you?,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
A5,Does your child pretend?,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
A6,Does your child follow where you’re looking?,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
A7,"If you or someone else in the family is visibly upset, 
does your child show signs of wanting to comfort them?",1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
A8,Would you describe your child’s first words as:,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
A9,Does your child use simple gestures?,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
A10,Does your child stare at nothing with no apparent purpose?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
